4,14,3,18,21,5,7,16,2,9,11,6,17,0.6,13,19,22,1,23,10,0.2,0.9
Gria2,Pax6,Sparcl1,Clic6,Trp73,Erbb4,Neurod2,Apoe,Nr4a3,Neurod1,Top2a,Hopx,Neurog2,Epha4,Npy2r,Fgfr1,Emx2,Nfia,Pdlim4,Olig2,Gria2,Insm1
Neurod2,Vim,Cdh5,Igfbp2,Cacna2d2,Gria1,Gria2,Csf1r,Slit3,Plxna4,Mki67,Dio2,Cdh2,Flna,Gria1,Nlgn2,Foxg1,Jun,Ttc28,Olig1,Cntn2,Tubb3
Neurod6,Sox9,Lamb1,Cdh3,Bin1,Lhx6,Sox11,Laptm5,Gria2,Sox11,Vim,Zbtb20,Cul1,Cntn2,Nxph1,Bin1,Igf1r,Ptch1,Zfp609,Gpr17,Nrp1,Cacna1c
Cntn2,Ccdc80,Apcdd1,Foxj1,Reln,Grik3,Neurod6,C1qa,Crmp1,Cnr1,Cenpf,Limk1,Nfia,Dsp,Syt1,Nfia,Scrib,Ccdc80,Sema6d,Cntn1,Tubb3,Cadm3
Sox11,Htra1,Col3a1,Bmp7,Nhlh2,Cux2,Cntn2,C1qb,Camk2b,Zbtb20,Pou3f3,Ephb1,Mpzl1,Boc,Erbb4,Zbtb20,Plxnb1,Ptprs,Epha4,Cspg4,Ssh2,Nipbl
Tubb3,Pou3f3,Atp1a2,Itpr1,Lhx5,Atp1a3,Foxg1,Cx3cr1,Stxbp1,Ptprs,Lmnb1,Nfia,Gabbr1,Ubc,Atp1a3,Atp1a3,Mdh2,Ubc,Huwe1,Kcnd2,Grik2,Gabbr1
Nfasc,Rgma,Pdgfra,Mest,Cdh4,Slc32a1,Robo1,Pld4,Robo1,Nfasc,Syne2,Draxin,Cxcr4,Nfib,Ncam1,Prox1,Ncam1,Flna,Draxin,Mki67,Nlgn2,Fgf12
Cnr1,Sox2,Cldn5,Clu,Nfasc,Nxph1,Crmp1,Mrc1,Epha6,Epha4,Cenpe,Sema4g,Prox1,Ntrk3,Grik3,Gria2,Epha4,Nr4a2,Sox11,Sox2,Tbr1,Mpz
Crmp1,Gli3,Gnai2,Sox9,Ccnd2,Epb41l1,Sox4,Hpgds,Nrp1,Slc1a2,Pax6,Fabp7,Depdc5,Epha5,Slc32a1,Epha4,Pou3f3,Vamp3,Flna,Sox10,Sox4,Ubc
Atp1a3,Mki67,Ubc,Gnas,Lhx1,Ncam1,Atp1a3,Ptprj,Atp1a3,Nfia,Zfp609,Mki67,Mex3a,Gria2,Lhx6,Kcnh7,Rtn4,Crkl,Hras,Nr4a1,Stmn2,Dlx2
Plxna2,Sall1,Slc38a3,Atp1a1,Cacna2d1,Gad1,Tubb3,C1qc,Grik3,Prox1,Sox9,Insm1,Socs7,Emx1,Crmp1,Nrp1,Nfia,Ntrk3,Igfbpl1,Pdgfra,Rbfox2,Cntnap2
Unc13a,Chd7,Mpzl1,Cntn1,Nectin1,Dlx2,Nfib,Itga9,Syp,Nfib,Cdh2,Grik2,Pax6,Prox1,Ptprm,Nlgn3,Gria2,Stx18,Unc13b,Sox9,Cplx3,Efna2
Nrp1,Boc,Mest,Six3,Vcan,Mpped1,Kcnq3,Bin1,Lrp1,Nfix,Sun2,Epb41l3,Mfge8,Gng13,Cux2,Ubc,Grik2,Mfge8,Arid1b,Top2a,Slc18a3,Nfib
Bhlhe22,Id4,Gnas,Ptprm,Slc2a13,Cacna1b,Sptan1,Plcg2,Adcy1,Cplx2,Ubc,Lrrc4c,Epha4,Draxin,Arx,Lrp8,Ttc28,Cntnap1,Zmiz1,Grin1,Epb41l3,Dlgap1
Nr4a3,Mfge8,Vim,Kit,Robo2,Slc6a1,Cdk5r2,Vsir,Slc17a7,Sema6d,Chd7,Nfib,Grik2,Pou3f2,Prickle2,Chd6,Lhfpl4,Axin2,Dab2ip,Nes,Neurod2,Zbtb20
Mpped1,Cenpf,Ptprm,Pdgfra,Arhgap32,Sp9,Nfasc,Tmem119,Neurod6,Stxbp1,Nr2e1,Cep44,Cdh4,Lrp6,Sox1,Gng2,Ptprs,Camk2g,Nrp1,Erbb4,Zyg11b,Nlgn1
Robo1,Plxnb1,Cldn11,Trp73,Sema6a,Gad2,Gabrb2,Grk2,Dnm1,Meis2,Gli3,Atp6v1h,Cers2,Ptprs,Chrnb2,Nfasc,Gnao1,Nipbl,Sema4d,Lrrc4b,Cacna1b,Elavl2
Stxbp1,Top2a,Pdgfrb,Smo,Ndnf,Arx,Pou3f3,Pik3cd,Neurod2,Coro2b,Sox1,Vcan,Mapk8,Slc17a6,Gad2,Creb1,Plxna3,Efna5,Pou3f3,Fxyd6,Slc1a6,Apba1
Ttc28,Draxin,Cxcl12,Glul,Rspo3,Ptprm,Stxbp1,Ptprc,Grin1,Atp1a3,Ptprs,Atp6v1a,Eomes,Pard6a,Nlgn2,Cacnb1,Trpc1,Rhoa,Cacna2d1,Gng3,Nfix,Sparcl1
Sema7a,Tnfrsf19,Pecam1,Plxnb1,Snhg11,Trpc4,Slitrk1,Ptgs1,Ndrg4,Dock7,Id4,Fbxw7,Sox4,Alg13,Slc6a1,Slit3,Mdh1,Pld4,Meis2,Ptprz1,Hras,Kcnq2
Neurod1,Sema5b,Bmp7,Msi2,Kit,Grik1,Plxna2,Idh2,Tubb3,Sox4,Rgma,Mast3,Hes5,Ephb3,Stxbp1,Ptpn11,Gls,Kras,Ankrd11,Nlgn3,Lamb1,Srgap2
Kcnq3,Syne2,Wnt4,Ubc,Fat3,Crmp1,Cldn14,Rhob,Gnai1,Cacna2d1,Olig2,Camkk1,Vcan,Bmerb1,Grik1,Syn1,Fgf13,Bcl6,Lamb1,Itgb1,Kras,Stmn2
Gria1,Jun,Cd34,Ptch1,Cadm3,Syt1,Syt6,Huwe1,Bcl11b,Neurod6,Sall1,Mcm2,Pdcd1lg2,Cdh2,Ccdc88a,Ephb3,Atp6v1a,Srgap2,Syn1,Cdkn2c,Nfatc2,Epb41l3
Foxg1,Sfxn5,Bmp5,Ccdc141,Unc5b,Cadm1,Gria1,Atp6v0a1,C1qc,Sema7a,Mapk8ip3,Cenpf,Slc6a3,Astn1,Gad1,Sema4f,Mdk,Lmnb1,Chd6,Grik3,Sema4g,Cacna1b
Camk2b,Hes5,Kit,Cldn2,Src,Gng2,Nrp1,Gnai2,Nrcam,Limk1,Prom1,Mapk8ip3,Insm1,Jam3,Adcy1,Flna,Dhx16,Stxbp6,Mex3a,Lmnb2,Fezf2,Lamb1
Cacna1b,Nr2e1,Igfbp2,Dsp,Msi2,Sox2,Cldn10,P2ry13,Tbc1d24,Gabrd,Sdc2,Etv5,Ptprz1,Grik1,Sox2,Sdc3,Etv4,Sox9,Ptprf,Lmnb1,Cd9,Lrp1
Nfib,Cdh2,Itpr3,Syne2,Slitrk5,Dlgap1,Vamp4,Ankrd11,Ap2m1,Rras2,Meis2,Neurog2,Pde2a,Trak2,Camk2b,Parp1,Bcl11b,Trp53,Arfgef1,Vim,Syt1,Dyrk1a
Plxna4,Gnai2,Trim25,Folr1,Adcy1,Tubb3,Trpc5,Bmp7,Fezf2,Lamp5,Cd2,Pou3f3,Wwp1,Ntn4,Shank1,Rhod,Cfl1,Col3a1,Efnb1,Crkl,Ubc,Coro2b
Stmn2,Axin2,Flna,Tead1,Slc17a6,Kcnq2,Stx19,Ubc,Mest,Shh,Cd28,Prox1,Trpc1,Stx7,Tubb3,Slit2,Fn1,Map2k1,Vim,Grin3a,Atp1a1,Atp1a3
Igfbpl1,Adgrg1,Tanc1,Chd6,Diablo,Grin1,Gpr17,P2ry12,Pax3,Slc18a3,Il33,Mboat7,Sec22b,Stx17,Unc13a,Aqp4,Plxna4,Dab2ip,Robo1,Bmp7,Ncam2,Srgap1
